"id","village","address","network_id","network_village","network_address","takeup_survey"
1111055,"fusheng","fusheng21",1111030,"fusheng","fusheng21",1
1111034,"fusheng","fusheng21",1111030,"fusheng","fusheng21",1
1111038,"fusheng","fusheng21",1111030,"fusheng","fusheng21",1
1111042,"fusheng","fusheng21",1111030,"fusheng","fusheng21",1
1111045,"fusheng","fusheng21",1111030,"fusheng","fusheng21",1
1111034,"fusheng","fusheng21",1111031,"fusheng","fusheng21",0
1111050,"fusheng","fusheng21",1111031,"fusheng","fusheng21",0
1111031,"fusheng","fusheng21",1111032,"fusheng","fusheng21",1
1111041,"fusheng","fusheng21",1111032,"fusheng","fusheng21",1
1111038,"fusheng","fusheng21",1111032,"fusheng","fusheng21",1
1111053,"fusheng","fusheng21",1111035,"fusheng","fusheng21",1
1111040,"fusheng","fusheng21",1111036,"fusheng","fusheng21",0
1111041,"fusheng","fusheng21",1111036,"fusheng","fusheng21",0
1111040,"fusheng","fusheng21",1111038,"fusheng","fusheng21",1
1111050,"fusheng","fusheng21",1111038,"fusheng","fusheng21",1
1111032,"fusheng","fusheng21",1111038,"fusheng","fusheng21",1
1111041,"fusheng","fusheng21",1111038,"fusheng","fusheng21",1
1111031,"fusheng","fusheng21",1111040,"fusheng","fusheng21",1
1111038,"fusheng","fusheng21",1111041,"fusheng","fusheng21",0
1111034,"fusheng","fusheng21",1111041,"fusheng","fusheng21",0
1111036,"fusheng","fusheng21",1111041,"fusheng","fusheng21",0
1111031,"fusheng","fusheng21",1111041,"fusheng","fusheng21",0
1111050,"fusheng","fusheng21",1111041,"fusheng","fusheng21",0
1111055,"fusheng","fusheng21",1111041,"fusheng","fusheng21",0
1111045,"fusheng","fusheng21",1111041,"fusheng","fusheng21",0
1111128,"fusheng","fusheng23",1111042,"fusheng","fusheng21",1
1113093,"shigang","shigang12",1111042,"fusheng","fusheng21",1
1111265,"fusheng","fusheng32",1111042,"fusheng","fusheng21",1
1118435,"huangshan","huangshan10",1111042,"fusheng","fusheng21",1
1114139,"zhangxi","zhangxi3",1111042,"fusheng","fusheng21",1
1114420,"zhangxi","zhangxi6",1111042,"fusheng","fusheng21",1
1111418,"fusheng","fusheng67",1111042,"fusheng","fusheng21",1
1113150,"shigang","shigang21",1111042,"fusheng","fusheng21",1
1116143,"dukou","dukou31",1111042,"fusheng","fusheng21",1
1111040,"fusheng","fusheng21",1111042,"fusheng","fusheng21",1
1111265,"fusheng","fusheng32",1111042,"fusheng","fusheng21",1
1111031,"fusheng","fusheng21",1111045,"fusheng","fusheng21",1
1111040,"fusheng","fusheng21",1111045,"fusheng","fusheng21",1
1111055,"fusheng","fusheng21",1111045,"fusheng","fusheng21",1
1111032,"fusheng","fusheng21",1111045,"fusheng","fusheng21",1
1111050,"fusheng","fusheng21",1111045,"fusheng","fusheng21",1
1111049,"fusheng","fusheng21",1111046,"fusheng","fusheng21",0
1111035,"fusheng","fusheng21",1111046,"fusheng","fusheng21",0
1111053,"fusheng","fusheng21",1111046,"fusheng","fusheng21",0
1111375,"fusheng","fusheng5",1111046,"fusheng","fusheng21",0
1111394,"fusheng","fusheng67",1111049,"fusheng","fusheng21",1
1111042,"fusheng","fusheng21",1111049,"fusheng","fusheng21",1
1111053,"fusheng","fusheng21",1111049,"fusheng","fusheng21",1
1111049,"fusheng","fusheng21",1111050,"fusheng","fusheng21",1
1111038,"fusheng","fusheng21",1111050,"fusheng","fusheng21",1
1111040,"fusheng","fusheng21",1111050,"fusheng","fusheng21",1
1111032,"fusheng","fusheng21",1111050,"fusheng","fusheng21",1
1111045,"fusheng","fusheng21",1111055,"fusheng","fusheng21",1
1111050,"fusheng","fusheng21",1111055,"fusheng","fusheng21",1
1111031,"fusheng","fusheng21",1111055,"fusheng","fusheng21",1
1111038,"fusheng","fusheng21",1111055,"fusheng","fusheng21",1
1111147,"fusheng","fusheng23",1111123,"fusheng","fusheng23",1
1111148,"fusheng","fusheng23",1111124,"fusheng","fusheng23",1
1116143,"dukou","dukou31",1111124,"fusheng","fusheng23",1
1118435,"huangshan","huangshan10",1111124,"fusheng","fusheng23",1
1111265,"fusheng","fusheng32",1111124,"fusheng","fusheng23",1
1114139,"zhangxi","zhangxi3",1111124,"fusheng","fusheng23",1
1113093,"shigang","shigang12",1111124,"fusheng","fusheng23",1
1111130,"fusheng","fusheng23",1111124,"fusheng","fusheng23",1
1111127,"fusheng","fusheng23",1111124,"fusheng","fusheng23",1
1114420,"zhangxi","zhangxi6",1111124,"fusheng","fusheng23",1
1113150,"shigang","shigang21",1111124,"fusheng","fusheng23",1
1111146,"fusheng","fusheng23",1111125,"fusheng","fusheng23",1
1111131,"fusheng","fusheng23",1111125,"fusheng","fusheng23",1
1111252,"fusheng","fusheng32",1111126,"fusheng","fusheng23",1
1111147,"fusheng","fusheng23",1111126,"fusheng","fusheng23",1
1111123,"fusheng","fusheng23",1111126,"fusheng","fusheng23",1
1111404,"fusheng","fusheng67",1111126,"fusheng","fusheng23",1
1111131,"fusheng","fusheng23",1111126,"fusheng","fusheng23",1
1111146,"fusheng","fusheng23",1111127,"fusheng","fusheng23",0
1111133,"fusheng","fusheng23",1111127,"fusheng","fusheng23",0
1111128,"fusheng","fusheng23",1111127,"fusheng","fusheng23",0
1111144,"fusheng","fusheng23",1111128,"fusheng","fusheng23",1
1111140,"fusheng","fusheng23",1111128,"fusheng","fusheng23",1
1111123,"fusheng","fusheng23",1111128,"fusheng","fusheng23",1
1111127,"fusheng","fusheng23",1111128,"fusheng","fusheng23",1
1114139,"zhangxi","zhangxi3",1111130,"fusheng","fusheng23",1
1116143,"dukou","dukou31",1111130,"fusheng","fusheng23",1
1111265,"fusheng","fusheng32",1111130,"fusheng","fusheng23",1
1118435,"huangshan","huangshan10",1111130,"fusheng","fusheng23",1
1114420,"zhangxi","zhangxi6",1111130,"fusheng","fusheng23",1
1111140,"fusheng","fusheng23",1111130,"fusheng","fusheng23",1
1111125,"fusheng","fusheng23",1111131,"fusheng","fusheng23",0
1111144,"fusheng","fusheng23",1111133,"fusheng","fusheng23",1
1111130,"fusheng","fusheng23",1111133,"fusheng","fusheng23",1
1111127,"fusheng","fusheng23",1111133,"fusheng","fusheng23",1
1111140,"fusheng","fusheng23",1111133,"fusheng","fusheng23",1
1111126,"fusheng","fusheng23",1111133,"fusheng","fusheng23",1
1111145,"fusheng","fusheng23",1111133,"fusheng","fusheng23",1
1111144,"fusheng","fusheng23",1111136,"fusheng","fusheng23",0
1111131,"fusheng","fusheng23",1111136,"fusheng","fusheng23",0
1111127,"fusheng","fusheng23",1111136,"fusheng","fusheng23",0
1111125,"fusheng","fusheng23",1111140,"fusheng","fusheng23",1
1111144,"fusheng","fusheng23",1111140,"fusheng","fusheng23",1
1111054,"fusheng","fusheng21",1111140,"fusheng","fusheng23",1
1111136,"fusheng","fusheng23",1111140,"fusheng","fusheng23",1
1111140,"fusheng","fusheng23",1111144,"fusheng","fusheng23",1
1111127,"fusheng","fusheng23",1111146,"fusheng","fusheng23",0
1111125,"fusheng","fusheng23",1111146,"fusheng","fusheng23",0
1111131,"fusheng","fusheng23",1111146,"fusheng","fusheng23",0
1111123,"fusheng","fusheng23",1111147,"fusheng","fusheng23",1
1111371,"fusheng","fusheng5",1111147,"fusheng","fusheng23",1
1111126,"fusheng","fusheng23",1111147,"fusheng","fusheng23",1
1111146,"fusheng","fusheng23",1111148,"fusheng","fusheng23",1
1111054,"fusheng","fusheng21",1111148,"fusheng","fusheng23",1
1111207,"fusheng","fusheng31",1111151,"fusheng","fusheng31",0
1111209,"fusheng","fusheng31",1111151,"fusheng","fusheng31",0
1111169,"fusheng","fusheng31",1111151,"fusheng","fusheng31",0
1111165,"fusheng","fusheng31",1111151,"fusheng","fusheng31",0
1111208,"fusheng","fusheng31",1111151,"fusheng","fusheng31",0
1111155,"fusheng","fusheng31",1111151,"fusheng","fusheng31",0
1111165,"fusheng","fusheng31",1111154,"fusheng","fusheng31",1
1111155,"fusheng","fusheng31",1111154,"fusheng","fusheng31",1
1111194,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111151,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111161,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111171,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111179,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111164,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111191,"fusheng","fusheng31",1111155,"fusheng","fusheng31",0
1111165,"fusheng","fusheng31",1111161,"fusheng","fusheng31",1
1111162,"fusheng","fusheng31",1111161,"fusheng","fusheng31",1
1111187,"fusheng","fusheng31",1111161,"fusheng","fusheng31",1
1111196,"fusheng","fusheng31",1111161,"fusheng","fusheng31",1
1111194,"fusheng","fusheng31",1111161,"fusheng","fusheng31",1
1114420,"zhangxi","zhangxi6",1111162,"fusheng","fusheng31",1
