"name","address","region","village","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes"
"33312109","yongfengcaomen2",3,"yongfeng",0,42,7,"0",100,10,20,"0","1",30,"1","0","0","1","0","0","0","1",0,39,0,"0","0",NA,"1"
"33312062","yongfengcaomen2",3,"yongfeng",1,62,4,"1",90,1,50,"0","1",60,"1","1","0","0","1","0","0","1",0.400000005960464,38,0,"1","0","0","1"
"33312055","yongfengcaomen1",3,"yongfeng",0,37,4,"2",40,8,10,"0","1",40,"1","1","0","1","0","1","0","0",0.400000005960464,39,0,"1","1",NA,"1"
"33312030","yongfengcaomen1",3,"yongfeng",1,60,2,"0",20,1.29999995231628,60,"0","0",50,"1","1","0","1","1","0","0","1",0.200000002980232,39,0.199999988079071,"0","0",NA,"1"
"33312015","yongfengcaomen1",3,"yongfeng",0,48,4,"2",100,20,75,"0","1",50,"1","1","0","0","1","0","0","1",1,39,0,"1","1","0","1"
"33312080","yongfengcaomen2",3,"yongfeng",0,55,4,"0",90,6,NA,"0","1",20,"1","1","0","1","0","0","0","1",0.800000011920929,39,0,"0","0",NA,"0"
"33312022","yongfengcaomen1",3,"yongfeng",1,58,5,"1",20,3.79999995231628,30,"1","0",20,"0","1","0","1","1","0","0","1",0.600000023841858,39,0,"1","0",NA,"1"
"33312025","yongfengcaomen1",3,"yongfeng",0,60,6,"0",95,10,100,"1","1",50,"1","1","0","0","1","0","0","1",0.800000011920929,38,0,"0","0","0","1"
"33312002","yongfengcaomen1",3,"yongfeng",0,67,4,"0",90,2.59999990463257,30,"0","0",40,"0","0","0","1","0","0","1","0",0,39,0,"0","0",NA,"1"
"33312057","yongfengcaomen1",3,"yongfeng",0,53,8,"3",60,7,30,"1","0",30,"1","1","0","1","1","1","0","0",0.600000023841858,39,0,"1","1",NA,"1"
"33312092","yongfengcaomen2",3,"yongfeng",0,41,5,"2",80,3.59999990463257,50,"1","1",20,"1","1","0","0","1","0","0","1",0.800000011920929,38,0,"1","1","0","1"
"33312003","yongfengcaomen1",3,"yongfeng",1,57,4,"2",100,45,10,"0","0",90,"1","1","0","0","1","0","0","1",0.800000011920929,39,0.800000011920929,"1","1","0","1"
"33312013","yongfengcaomen1",3,"yongfeng",1,56,5,"2",30,5,8,"0","1",0,"1","1","0","0","1","0","0","1",NA,38,0.199999988079071,"1","1","0","1"
"33312017","yongfengcaomen1",3,"yongfeng",0,40,6,"1",60,4,60,"0","0",20,"1","1","0","1","1","0","0","1",0.600000023841858,39,0.399999976158142,"1","0",NA,"1"
"33312048","yongfengcaomen1",3,"yongfeng",1,71,6,"0",100,7,30,"1","0",30,"1","1","0","1","1","0","0","1",1,39,0,"0","0",NA,"1"
"33312016","yongfengcaomen1",3,"yongfeng",0,45,4,"0",20,0.5,NA,"0","0",60,"1","1","0","1","0","0","1","0",0.600000023841858,39,1,"0","0",NA,"0"
"33312034","yongfengcaomen1",3,"yongfeng",1,54,6,"2",15,4,4,"1","1",20,"1","0","0","1","1","0","0","1",0.600000023841858,39,0,"1","1",NA,"1"
"33312032","yongfengcaomen1",3,"yongfeng",0,76,6,"0",100,8,40,"1","1",40,"1","1","0","1","1","0","1","0",0.800000011920929,39,0,"0","0",NA,"1"
"33312051","yongfengcaomen1",3,"yongfeng",1,41,4,"2",35,4,NA,"0","1",20,"1","1","0","1","0","1","0","0",0.600000023841858,39,0,"1","1",NA,"0"
"33312007","yongfengcaomen1",3,"yongfeng",1,52,3,"1",100,5,60,"0","0",30,"1","1","0","1","1","0","0","1",0.600000023841858,39,0,"1","0",NA,"1"
"33312065","yongfengcaomen2",3,"yongfeng",0,57,7,"3",40,2,NA,"1","1",40,"1","1","0","1","1","0","0","1",0.600000023841858,39,0.199999988079071,"1","1",NA,"1"
"33312060","yongfengcaomen2",3,"yongfeng",1,51,5,"1",60,10,50,"1","0",30,"1","1","0","1","1","0","0","1",0.600000023841858,39,0,"1","0",NA,"1"
"33312071","yongfengcaomen2",3,"yongfeng",0,47,5,"1",100,3.5,NA,"0","1",20,"1","0","0","0","0","0","0","1",0.200000002980232,38,0,"1","0","0","0"
"33312144","yongfengsanfang1",3,"yongfeng",1,44,5,"1",50,6,NA,"0","0",30,"1","0","1","0","1","0","0","1",0.800000011920929,34,0,"1","0",NA,"0"
"33312074","yongfengcaomen2",3,"yongfeng",0,34,4,"2",60,5,20,"0","0",0,"0","1","0","1","1","1","0","0",0.600000023841858,39,0,"1","1",NA,"1"
"33312058","yongfengcaomen2",3,"yongfeng",0,64,5,"1",40,9.5,90,"1","1",50,"1","1","0","1","0","0","0","1",0.400000005960464,39,0,"1","0",NA,"1"
"33312091","yongfengcaomen2",3,"yongfeng",1,44,5,"1",60,7,50,"1","1",40,"1","1","0","1","1","0","0","1",0.600000023841858,39,0,"1","0",NA,"1"
"33312105","yongfengcaomen2",3,"yongfeng",1,52,5,"0",100,1.5,70,"1","1",50,"0","1","0","1","0","1","0","0",1,39,0.600000023841858,"0","0",NA,"1"
"33312095","yongfengcaomen2",3,"yongfeng",0,39,7,"2",90,18,10,"0","0",30,"1","1","0","1","0","0","1","0",0.400000005960464,39,0,"1","1",NA,"1"
"33312020","yongfengcaomen1",3,"yongfeng",0,56,6,"0",100,10,NA,"1","1",50,"1","0","0","0","0","0","0","1",0,38,0,"0","0","1","0"
"33312005","yongfengcaomen1",3,"yongfeng",1,40,6,"2",75,7,40,"1","1",20,"1","1","0","0","1","0","0","1",0.600000023841858,39,0,"1","1","0","1"
"33312035","yongfengcaomen1",3,"yongfeng",0,57,6,"1",100,7,50,"0","0",30,"1","1","0","1","0","0","0","1",0.400000005960464,39,0,"1","0",NA,"1"
"33312078","yongfengcaomen2",3,"yongfeng",0,33,5,"0",100,10,0,"0","0",50,"1","0","0","1","1","0","1","0",1,39,0,"0","0",NA,"0"
"33312019","yongfengcaomen1",3,"yongfeng",0,56,5,"1",60,6,0,"1","1",40,"1","1","0","1","1","1","0","0",0.600000023841858,39,0,"1","0",NA,"0"
"33312110","yongfengcaomen2",3,"yongfeng",0,45,5,"1",60,10,40,"0","0",30,"1","1","0","1","0","0","1","0",0.400000005960464,39,0,"1","0",NA,"1"
"33312033","yongfengcaomen1",3,"yongfeng",1,51,4,"2",100,28,15,"0","0",30,"1","1","0","0","0","0","0","1",0.200000002980232,39,0,"1","1","0","1"
"33312054","yongfengcaomen1",3,"yongfeng",1,48,4,"2",40,4,40,"1","1",50,"1","1","0","0","1","0","0","1",0.800000011920929,39,0,"1","1","0","1"
"33312036","yongfengcaomen1",3,"yongfeng",1,61,4,"1",60,10,50,"1","0",30,"1","1","0","0","1","0","0","1",0.200000002980232,39,1,"1","0","0","1"
"33312098","yongfengcaomen2",3,"yongfeng",0,46,3,"0",100,3,20,"0","0",50,"1","0","0","1","0","0","0","1",1,39,0,"0","0",NA,"1"
"33312046","yongfengcaomen1",3,"yongfeng",0,60,5,"0",100,10,NA,"0","0",35,"1","1","0","1","0","0","0","1",0.200000002980232,39,0,"0","0",NA,"0"
"33312014","yongfengcaomen1",3,"yongfeng",0,64,9,"1",30,6,40,"0","0",50,"1","1","0","0","0","0","0","1",0,38,0,"1","0","0","1"
"33312111","yongfengcaomen2",3,"yongfeng",0,39,4,"2",NA,8,NA,"0","0",40,"1","1","0","1","1","1","0","0",0.600000023841858,39,0,"1","1",NA,"0"
"33312018","yongfengcaomen1",3,"yongfeng",1,60,4,"1",90,8,50,"0","0",50,"1","1","0","1","1","0","0","1",1,39,0,"1","0",NA,"1"
"33312112","yongfengcaomen2",3,"yongfeng",0,36,5,"1",100,7,0,"0","0",10,"1","1","0","1","0","1","0","0",0.600000023841858,39,0.600000023841858,"1","0",NA,"0"
