id,network_id
1116059,1116044
1116080,1116044
1116065,1116044
1116077,1116044
1116061,1116044
1116078,1116044
1116080,1116045
1116059,1116046
1116080,1116046
1116070,1116047
1116045,1116047
1116091,1116047
1116057,1116048
1116071,1116048
1116045,1116048
1116062,1116048
1116070,1116057
1116089,1116057
1116085,1116058
1116061,1116058
1116078,1116059
1116057,1116059
1116078,1116061
1116070,1116061
1116046,1116061
1116086,1116062
1116080,1116062
1116058,1116065
1116066,1116065
1116057,1116066
1116068,1116066
1116061,1116070
1116046,1116070
1116071,1116070
1116068,1116070
1116068,1116071
1116061,1116071
1116077,1116074
1116047,1116074
1116045,1116074
1116044,1116074
1116086,1116077
1116066,1116077
1116062,1116077
1116047,1116077
1116059,1116078
1116074,1116078
1116044,1116078
1116085,1116078
1116048,1116078
1116089,1116078
1116091,1116080
1116062,1116080
1116065,1116085
1116085,1116086
1116058,1116088
1116059,1116088
1116086,1116088
1116091,1116088
1116057,1116088
1116078,1116088
1116089,1116088
1116061,1116088
1116091,1116089
1116057,1116089
1116047,1116089
1116078,1116089
1116044,1116089
1116046,1116089
1116062,1116091
1116089,1116091
1116058,1116091
1116074,1116315
1116143,1111042
1116143,1111124
1116143,1111130
1116143,1111162
1116143,1111190
1116167,1111214
1116169,1116104
1116126,1116104
1116128,1116104
1116108,1116107
1116104,1116107
1116126,1116108
1116170,1116108
1116162,1116108
1116107,1116108
1116127,1116114
1116128,1116116
1116140,1116116
1116120,1116116
1116158,1116116
1116114,1116116
1116149,1116116
1116127,1116116
1116142,1116116
1116162,1116120
1116154,1116120
1116130,1116120
1116127,1116120
1116149,1116125
1116152,1116125
1116159,1116125
1116130,1116125
1116134,1116126
1116169,1116126
1116152,1116127
1116120,1116127
1116154,1116128
1116136,1116130
1116154,1116130
1116111,1116133
1116134,1116134
1116127,1116134
1116162,1116134
1116111,1116134
1116151,1116136
1116111,1116136
1116159,1116136
1116114,1116136
1116148,1116137
1116158,1116140
1116114,1116140
1116144,1116140
1116145,1116140
1116159,1116140
1116172,1116140
1116116,1116142
1116144,1116142
1116153,1116142
1116144,1116143
1116148,1116144
1116125,1116148
1116142,1116148
1116116,1116148
1116136,1116148
1116158,1116148
1116140,1116148
1116145,1116148
1116149,1116148
1116150,1116148
1116172,1116148
1116125,1116149
1116152,1116149
1116136,1116149
1116116,1116149
1116148,1116149
1116145,1116149
1116114,1116149
1116158,1116149
1116137,1116149
1116151,1116152
1116140,1116153
1116128,1116153
1116149,1116153
1116142,1116153
1116125,1116153
1116120,1116154
1116153,1116154
1116130,1116154
1116116,1116158
1116136,1116158
1116125,1116158
1116148,1116158
1116142,1116158
1116140,1116158
1116151,1116159
1116150,1116159
1116133,1116163
1116108,1116167
1116134,1116167
1116168,1116167
1116111,1116167
1116151,1116168
1116167,1116168
1116108,1116168
1116134,1116168
1116169,1116168
1116126,1116168
1116133,1116169
1116108,1116169
1116172,1116169
1116128,1116169
1116133,1116170
1116169,1116170
1116107,1116172
1116162,1116172
1116162,1116177
1116152,1116200
1116154,1116229
1116152,1116235
1116145,1116237
1116154,1116237
1116170,1116243
1116170,1116253
1116107,1116262
1116107,1116265
1116167,1116390
1116167,1119996354
1116228,1116078
1116203,1116108
1116257,1116114
1116207,1116116
1116237,1116127
1116207,1116140
1116207,1116142
1116207,1116144
1116177,1116149
1116182,1116153
1116237,1116154
1116207,1116158
1116177,1116169
1116203,1116169
1116243,1116170
1116177,1116172
1116201,1116180
1116226,1116180
1116262,1116180
1116182,1116180
1116180,1116181
1116182,1116181
1116211,1116181
1116257,1116181
1116217,1116181
1116224,1116181
1116194,1116181
1116260,1116181
1116186,1116181
1116191,1116181
1116193,1116181
1116201,1116181
1116244,1116181
1116205,1116181
1116262,1116181
1116199,1116181
1116187,1116181
1116259,1116181
1116201,1116182
1116224,1116182
1116200,1116182
1116181,1116182
1116193,1116182
1116177,1116186
1116180,1116186
1116226,1116187
1116211,1116191
1116226,1116191
1116259,1116191
1116217,1116191
1116193,1116191
1116191,1116193
1116181,1116194
1116199,1116194
1116180,1116194
1116199,1116197
1116193,1116197
1116220,1116197
1116224,1116197
1116182,1116200
1116220,1116200
1116199,1116203
1116180,1116203
1116226,1116203
1116224,1116203
1116179,1116203
1116194,1116204
1116205,1116204
1116201,1116204
1116203,1116205
1116197,1116207
1116187,1116207
1116194,1116207
1116205,1116211
1116228,1116214
1116217,1116217
1116243,1116217
1116191,1116217
1116204,1116224
1116180,1116224
1116187,1116226
1116246,1116229
1116182,1116229
1116233,1116230
1116236,1116230
1116234,1116233
1116229,1116233
1116205,1116233
1116204,1116234
1116191,1116234
1116233,1116234
1116244,1116235
1116246,1116235
1116187,1116235
1116230,1116235
1116211,1116236
1116204,1116236
1116260,1116236
1116259,1116236
1116229,1116237
1116220,1116237
1116243,1116239
1116230,1116239
1116260,1116239
1116220,1116239
1116239,1116240
1116236,1116240
1116230,1116240
1116265,1116243
1116262,1116244
1116243,1116244
1116246,1116244
1116236,1116244
1116230,1116246
1116244,1116246
1116200,1116253
1116243,1116257
1116236,1116257
1116233,1116260
1116253,1116265
1116194,1116297
1116313,1116163
1116310,1116267
1116306,1116267
1116268,1116267
1116277,1116267
1116313,1116268
1116269,1116268
1116268,1116269
1116279,1116269
1116272,1116269
1116270,1116269
1116267,1116270
1116268,1116270
1116269,1116270
1116315,1116270
1116285,1116274
1116297,1116274
1116282,1116275
1116297,1116275
1116287,1116275
1116272,1116275
1116281,1116275
1116272,1116277
1116289,1116277
1116275,1116277
1116268,1116278
1116309,1116278
1116311,1116278
1116313,1116279
1116315,1116280
1116288,1116280
1116284,1116280
1116309,1116280
1116287,1116280
1116274,1116280
1116280,1116281
1116282,1116281
1116288,1116281
1116309,1116281
1116287,1116281
1116275,1116281
1116285,1116281
1116279,1116282
1116274,1116282
1116297,1116282
1116270,1116282
1116288,1116284
1116280,1116284
1116309,1116284
1116285,1116284
1116279,1116284
1116278,1116284
1116274,1116287
1116281,1116287
1116288,1116287
1116315,1116287
1116297,1116287
1116275,1116287
1116279,1116287
1116282,1116287
1116287,1116288
1116313,1116288
1116311,1116288
1116297,1116288
1116285,1116288
1116278,1116288
1116280,1116288
1116281,1116288
1116292,1116289
1116281,1116289
1116279,1116289
1116284,1116292
1116274,1116292
1116274,1116297
1116288,1116297
1116270,1116297
1116282,1116297
1116298,1116297
1116275,1116297
1116270,1116299
1116267,1116299
1116267,1116306
1116308,1116306
1116310,1116306
1116270,1116308
1116310,1116308
1116315,1116308
1116281,1116308
1116292,1116308
1116268,1116308
1116278,1116308
1116275,1116308
1116267,1116308
1116278,1116309
1116308,1116310
1116267,1116310
1116313,1116310
1116287,1116311
1116309,1116315
1116278,1116315
1116311,1116315
1116280,1116315
1116277,1116328
1116272,1116363
1116306,1116365
1116289,1116368
1116272,1116384
1116330,1116234
1116350,1116299
1116333,1116299
1116324,1116309
1116350,1116309
1116340,1116319
1116357,1116319
1116331,1116319
1116357,1116320
1116374,1116320
1116363,1116323
1116380,1116323
1116342,1116323
1116332,1116323
1116324,1116323
1116363,1116324
1116335,1116326
1116320,1116326
1116380,1116326
1116332,1116328
1116330,1116328
1116380,1116328
1116365,1116328
1116331,1116328
1116336,1116328
1116344,1116330
1116333,1116330
1116365,1116330
1116331,1116330
1116373,1116332
1116334,1116332
1116380,1116332
1116342,1116332
1116331,1116332
1116374,1116332
1116332,1116333
1116336,1116333
1116344,1116334
1116323,1116334
1116373,1116335
1116326,1116335
1116340,1116338
1116350,1116338
1116338,1116340
1116378,1116340
1116323,1116340
1116353,1116342
1116340,1116342
1116338,1116342
1116334,1116344
1116352,1116350
1116335,1116350
1116326,1116350
1116342,1116352
1116384,1116352
1116338,1116352
1116353,1116352
1116334,1116352
1116323,1116352
1116344,1116353
1116384,1116353
1116369,1116353
1116338,1116353
1116357,1116353
1116352,1116356
1116365,1116356
1116384,1116356
1116350,1116357
1116323,1116359
1116371,1116359
1116353,1116359
1116344,1116359
1116359,1116361
