name,address,region,village,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes
1116059,dukou2,1,dukou,0,63,6,0,25,1.5,NA,0,1,40,1,1,0,0,1,0,0,1,0.200000003,5,0,0,0,1,0
1116080,dukou2,1,dukou,0,46,4,3,40,5,NA,0,0,50,1,1,0,1,0,0,0,1,0.200000003,9,0,1,1,NA,0
1116065,dukou2,1,dukou,0,69,5,1,40,6,30,0,0,30,1,1,0,1,0,0,1,0,1,9,0,1,0,NA,1
1116077,dukou2,1,dukou,0,35,4,0,50,6,NA,0,0,30,1,1,0,1,1,0,1,0,0.200000003,9,0,0,0,NA,0
1116061,dukou2,1,dukou,0,70,12,1,20,2,10,0,0,50,0,1,0,0,1,0,0,1,0.800000012,5,0,1,0,0,1
1116078,dukou2,1,dukou,0,46,5,2,100,32,10,1,1,20,1,1,0,1,1,1,0,0,0.400000006,9,0.199999988,1,1,NA,1
1116070,dukou2,1,dukou,0,67,3,0,100,10,25,1,0,40,0,1,0,0,1,0,0,1,0,5,0,0,0,NA,1
1116045,dukou2,1,dukou,0,65,4,1,NA,5.6,NA,0,1,40,1,1,0,1,0,0,0,1,0.200000003,9,0,1,0,NA,0
1116091,dukou2,1,dukou,0,43,4,2,20,1.8,NA,0,1,0,1,1,0,1,0,0,0,1,0.400000006,9,0.199999988,1,1,NA,0
1116057,dukou2,1,dukou,1,66,8,1,90,12,20,1,0,20,1,1,0,0,0,0,0,1,0.400000006,5,0,1,0,1,1
1116071,dukou2,1,dukou,0,60,12,0,50,20,NA,0,0,50,1,1,0,1,1,0,0,1,0.200000003,9,0,0,0,NA,1
1116062,dukou2,1,dukou,1,40,4,1,60,7,NA,0,1,20,0,1,0,1,0,0,0,1,0,9,0,1,0,NA,0
1116089,dukou2,1,dukou,0,58,6,1,25,20,20,0,1,30,1,1,0,0,0,0,0,1,0.200000003,5,1,1,0,0,1
1116085,dukou2,1,dukou,0,65,6,1,20,1.6,50,1,0,40,1,1,0,1,0,0,1,0,0,9,0,1,0,NA,1
1116046,dukou2,1,dukou,0,66,5,1,100,7.5,NA,0,0,50,1,1,0,0,1,0,0,1,0.800000012,5,0,1,0,0,0
1116086,dukou2,1,dukou,1,38,4,3,70,15,NA,0,0,50,1,1,0,1,1,0,0,1,0.800000012,9,0.200000003,1,1,NA,NA
1116058,dukou2,1,dukou,0,59,5,1,30,3.5,NA,0,0,35,0,1,0,1,1,0,0,1,0.600000024,9,0.800000012,1,0,NA,0
1116066,dukou2,1,dukou,1,48,4,2,90,7.5,10,1,0,20,0,1,0,0,0,0,0,1,0.200000003,5,0.600000024,1,1,0,1
1116068,dukou2,1,dukou,0,70,3,3,25,0.7,10,0,0,50,1,1,0,1,0,1,0,0,0.400000006,9,0,1,1,NA,1
1116047,dukou2,1,dukou,1,55,5,2,45,6,5,1,0,30,1,1,0,0,0,0,0,1,0.600000024,5,0.399999976,1,1,0,1
1116044,dukou2,1,dukou,0,41,4,2,80,15,15,0,0,0,1,1,0,0,0,0,0,1,0.200000003,5,1,1,1,0,1
1116074,dukou2,1,dukou,0,41,4,1,100,60,50,0,1,10,1,1,0,0,1,0,0,1,0.400000006,5,0,1,0,0,1
1116048,dukou2,1,dukou,0,50,4,1,40,6,NA,0,0,10,1,1,0,1,0,0,0,1,0.400000006,9,0.399999976,1,0,NA,0
1116143,dukou31,1,dukou,1,45,4,1,40,5,NA,0,0,50,1,1,1,1,1,0,1,0,0.600000024,9,0,1,0,NA,0
